id|lat|lon|iso country|poly country|link
101913225|Remich|49.544444|6.366667|DE|LU|https://whosonfirst.mapzen.com/spelunker/id/101913225/
101914105|Weil am Rhein|47.594722|7.610833|CH|DE|https://whosonfirst.mapzen.com/spelunker/id/101914105/
101914107|Weil am Rhein|47.594722|7.610833|CH|DE|https://whosonfirst.mapzen.com/spelunker/id/101914107/
101914109|Weil am Rhein|47.594722|7.610833|CH|DE|https://whosonfirst.mapzen.com/spelunker/id/101914109/
101914113|Weil am Rhein|47.594722|7.610833|CH|DE|https://whosonfirst.mapzen.com/spelunker/id/101914113/
101914115|Weil am Rhein|47.594722|7.610833|CH|DE|https://whosonfirst.mapzen.com/spelunker/id/101914115/
421168533|Pamplona|42.816667|-1.65|CO|ES|https://whosonfirst.mapzen.com/spelunker/id/421168533/
101914859|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101914859/
421168681|Jerusalem|31.783333|35.233333|IL|PS|https://whosonfirst.mapzen.com/spelunker/id/421168681/
101915071|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101915071/
101915203|Pohara|58.46|24.227222|NZ|EE|https://whosonfirst.mapzen.com/spelunker/id/101915203/
890421389|Ronda|36.737222222|-5.164722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890421389/
890421745|Villareal|39.937777777|-0.101388888|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890421745/
890422905|Port-Louis|-20.166666666|57.5|GP|MU|https://whosonfirst.mapzen.com/spelunker/id/890422905/
101915677|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101915677/
890430395|Barcelona|41.3825|2.176944444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890430395/
890429581|Tarragona|41.115555555|1.249444444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890429581/
101915861|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101915861/
890432871|El Salvador|13.668889|-88.866111|PH|SV|https://whosonfirst.mapzen.com/spelunker/id/890432871/
890433049|Bangui|4.361388888|18.555277777|PH|CF|https://whosonfirst.mapzen.com/spelunker/id/890433049/
890433097|Almeria|36.833333333|-2.45|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890433097/
101916043|Stirling|56.119444|-3.935833|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101916043/
890437735|Antequera|37.0183652|-4.5596649|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890437735/
890438545|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890438545/
890442273|Mexico|23.316667|-102.366667|PH|MX|https://whosonfirst.mapzen.com/spelunker/id/890442273/
890442467|Medina|24.466666666|39.6|PH|SA|https://whosonfirst.mapzen.com/spelunker/id/890442467/
890443223|Valladolid|41.651980555|-4.728561111|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890443223/
890443311|Murcia|37.986111111|-1.130277777|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890443311/
890442965|Pontevedra|42.433611111|-8.6475|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890442965/
102004051|Kanino|40.946944|21.358889|RU|MK|https://whosonfirst.mapzen.com/spelunker/id/102004051/
101917081|Saint Andrews|56.338889|-2.798889|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101917081/
890455205|Sevilla|37.383333333|-5.983333333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890455205/
890455391|Zaragosa|41.65|-0.883333333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890455391/
102004593|Rechitsa|52.363889|30.394722|RU|BY|https://whosonfirst.mapzen.com/spelunker/id/102004593/
101917369|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101917369/
101917371|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101917371/
102004917|Rechitsa|52.363889|30.394722|RU|BY|https://whosonfirst.mapzen.com/spelunker/id/102004917/
101918757|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101918757/
101918759|Cambridge|52.208056|0.1225|NZ|GB|https://whosonfirst.mapzen.com/spelunker/id/101918759/
101919005|San Sebastián|43.32|-1.98|PR|ES|https://whosonfirst.mapzen.com/spelunker/id/101919005/
101919011|San Antonio|29.428611|-98.493333|PR|US|https://whosonfirst.mapzen.com/spelunker/id/101919011/
101919283|San Antonio|29.428611|-98.493333|PR|US|https://whosonfirst.mapzen.com/spelunker/id/101919283/
